,Classifier_Name,Optimitied_Param,Model_Path
0,LogisticRegression,"{'C': 0.650041850913825, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",/mnt/md0/Public/T3_T4/lasso/new/1/0/LogisticRegression.pkl
1,LogisticRegression,"{'C': 0.5483080635017404, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",/mnt/md0/Public/T3_T4/lasso/new/1/1/LogisticRegression.pkl
2,LogisticRegression,"{'C': 0.33097557309937553, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",/mnt/md0/Public/T3_T4/lasso/new/1/2/LogisticRegression.pkl
3,LogisticRegression,"{'C': 0.3255626947761937, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",/mnt/md0/Public/T3_T4/lasso/new/1/3/LogisticRegression.pkl
4,LogisticRegression,"{'C': 0.2905637882840574, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",/mnt/md0/Public/T3_T4/lasso/new/1/4/LogisticRegression.pkl
