,accuracy,precision,f1_score,mmc,rocAUC,specificity,sensitivity,pro_cutoff,prAUC
0,0.675,0.6333333333333333,0.5966666666666666,0.4199468769459534,0.5611111111111111,0.6733333333333332,0.7166666666666666,"[0.5844445658978321, 0.20340477170842242, 0.9682220447960143, 0.5393901130616795, 0.41390887259596276]",0.401547619047619
1,0.7,0.5866666666666667,0.6821212121212121,0.4845445166819303,0.6311111111111111,0.5933333333333334,0.8666666666666666,"[0.2949127960688109, 0.7682048481737221, 0.3958926828624222, 0.507282783107382, 0.7297960234781795]",0.584047619047619
2,0.6555555555555556,0.6857142857142857,0.5854545454545454,0.44198409254014903,0.5033333333333333,0.6133333333333333,0.7333333333333334,"[0.2405658223479418, 0.2746408340776604, 0.34833795545347557, 0.7547290065915054, 0.9867332510731157]",0.4760714285714286
3,0.6722222222222223,0.7057142857142857,0.5833333333333333,0.45761094588112144,0.5377777777777778,0.66,0.7166666666666666,"[0.9563587627440011, 0.8876411681911042, 0.47502331419873906, 0.5068696012143193, 0.06677161796252286]",0.47579365079365077
4,0.6333333333333334,0.575,0.6488311688311688,0.42192215979801506,0.5155555555555555,0.5,0.8666666666666666,"[0.1407309348454395, 0.16792292090997193, 0.4638604196370107, 0.413872077924036, 0.5689469760261086]",0.44841269841269843
