,accuracy,precision,f1_score,mmc,rocAUC,specificity,sensitivity,pro_cutoff,prAUC
0,0.7222222222222222,0.5666666666666667,0.5266666666666666,0.4174144470349219,0.5700000000000001,0.78,0.6,"[0.640844408200843, 1.6307985177841777, 0.4212880891285689, 0.6056599264642203, 0.8011284559181479]",0.4593650793650793
1,0.7222222222222222,0.7333333333333333,0.5685714285714286,0.40175297695370854,0.52,0.8466666666666665,0.4999999999999999,"[0.6013060959689444, 0.9309368877195419, 0.6916701633087258, 0.6306432344915519, 0.7183844151765498]",0.4731547619047619
2,0.7472222222222222,0.82,0.5733333333333333,0.454457653095762,0.5433333333333333,0.8866666666666667,0.4833333333333333,"[0.5430027467225205, 0.6963918566040973, 0.6015131313980292, 0.6069137056072762, 0.9824491901736764]",0.5171527777777778
3,0.675,0.539047619047619,0.4833333333333333,0.37464983610605496,0.5422222222222222,0.7533333333333333,0.5833333333333333,"[0.94658889704181, 0.5713801408225541, 0.36380551882476375, 0.5948710445201849, 1.7694255568480755]",0.4943849206349206
4,0.6305555555555555,0.5416666666666666,0.550995670995671,0.2960151117870559,0.4811111111111111,0.64,0.6333333333333333,"[0.4441300102738071, 0.2037498686303497, 0.6617395575789621, 0.43134037854252577, 0.792212666646373]",0.41937499999999994
