,accuracy,precision,f1_score,mmc,rocAUC,specificity,sensitivity,pro_cutoff,prAUC
0,0.6666666666666666,0.5714285714285714,0.7272727272727273,0.47809144373375745,0.65,0.39999999999999997,1.0,0.1094906303530604,0.6255952380952381
1,0.5555555555555556,0.42857142857142855,0.6,0.3779644730092272,0.5,0.3333333333333333,1.0,0.39171596340019305,0.2992063492063492
2,0.8888888888888888,0.75,0.8571428571428571,0.7905694150420948,0.9444444444444444,0.8333333333333333,1.0,0.779882292181868,0.9027777777777777
3,0.75,1.0,0.5,0.4879500364742666,0.5333333333333333,1.0,0.3333333333333333,0.983097616045738,0.5686507936507936
4,0.875,0.75,0.8571428571428571,0.7745966692414834,0.8,0.8,1.0,0.16005137960871116,0.5138888888888888
