,accuracy,precision,f1_score,mmc,rocAUC,specificity,sensitivity,pro_cutoff,prAUC
0,0.6666666666666666,0.6,0.6666666666666665,0.35,0.49999999999999994,0.6,0.75,0.5315313047996364,0.4065972222222223
1,0.8888888888888888,1.0,0.8,0.7559289460184544,0.7777777777777778,1.0,0.6666666666666666,0.7181885125098643,0.7936507936507937
2,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,0.5067291165435509,0.5916666666666667
3,0.75,1.0,0.5,0.4879500364742666,0.4666666666666666,1.0,0.3333333333333333,0.9715715143551331,0.5492063492063493
4,0.625,0.5,0.6666666666666666,0.4472135954999579,0.6,0.4,1.0,0.12184175791453604,0.37222222222222223
