,Classifier_Name,Optimitied_Param,Model_Path
0,LogisticRegression,"OrderedDict([('C', 0.12260498793308286), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/1/0/LogisticRegression.pkl
1,LogisticRegression,"OrderedDict([('C', 0.4402354378054816), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/1/1/LogisticRegression.pkl
2,LogisticRegression,"OrderedDict([('C', 0.24506168833644856), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/1/2/LogisticRegression.pkl
3,LogisticRegression,"OrderedDict([('C', 0.2268546860149197), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/1/3/LogisticRegression.pkl
4,LogisticRegression,"OrderedDict([('C', 0.5899358426254628), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/1/4/LogisticRegression.pkl
