	cuizhaoyan	T386615	T4511947	T4546812	T4708931	T4771295	T4885622	T4978370	T5309201	T5356332	T5383979	T5392952	T5402558	T5404288	T5406460	T5407014	T5407024	T5411329	T5411337	T5412670	T5413224	T5414072	T5415755	T5415787	T5416619	T5418386	T5424389	T5425858	T5426822	T5427019	T5430860	T5433863	T5434631	T5436097	T5444043	T5445007	T5445301	T5450212	T5450491	T5453600	T5455039	T5462005	T5468269	T5468282	T5471149	T5513320	T5558516	T5558703	T5559825	T5564869	T5581107	T5581599	T5584547
36f410fd2417b4cf5448dd797fafe4f0	0	0	0	0.077846005	0	0.000381565	0.011135857	0.000731826	0	0	0	0.001396306	0	0	0	0	0.011765317	0.000476783	0	0	0.107909721	0.016809597	0.001332938	0.000404118	0	0.012204225	0.001016502	0	0.154411765	0.008038141	0	0	0.000378546	0	0.001936961	0.14317834	0.000329339	0.004305705	0	0	0.020993377	0.000271039	0.005487986	0	0.001786955	0.000826446	0	0	0.001172864	0	0	0.089312879	0.008267443
13bbca8871bb544b6cba6e9f58c4b1f4	0	0.233033629	0	0	0	0	0.000489978	0	0	0	0.008558511	0	0.089068097	0	0	0	0.019894554	0.000207297	0	0	0	0	0.001499556	0	0.022076487	0.000933045	0	0	0	0.001358883	0.00402537	0.165414937	0.008965572	0	0.001021307	0	0	0	0	0	0	0.002168315	0.000667458	0	0	0	0	0.004641478	0.004156464	0	0	0	0.001997503
165235298252aa76e56b0c092a4f7613	0	0	0.004858547	0.019996768	0	0	0	0.001849894	0	0.002932405	0	0	0.001660897	0	0	0	0	0	0	0	0	0.003151799	0	0	0.000456424	0.0062514	0	0.000463011	0	0	0.013040169	0	0.000617628	0.12098364	0.003380877	0.000963591	0.032149802	0.006893268	0	0	0.000706402	0	0	0	0	0	0.001200271	0	0	0	0.222032953	0	0
97be99db06965491502860f5a49ba2a3	0	0	0	0	0.007059714	0	0.000690423	0	0	0.000283244	0	0	0.000600324	0.000141123	0	0	0.025011038	0.01778607	0.000734174	0	0	0.001881307	0.02752888	0	0.008455847	0.004161379	0.000951619	0	0.004857799	0.020222028	0.000338266	0	0.000757093	0	0.37538299	0.006593988	0.000250925	0	0.000460316	0	0	0	0.000778701	0	0.002978259	0.000364609	0	0	0	0	0	0.003300245	0.004855042
a5a205af0eabfe7e0f51c635f7c98036	0.000835814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446346462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001376449	0	0	0
8c4443ac44be2e107f2c3b899af9312a	0	0	0.018171732	0.002464248	0	0	0.003808463	0	0	0.337543111	0	0.000538925	0	0	0	0	0	0.00064262	0	0.001308833	0	0.021305187	0	0	0	0	0	0	0	0	0.005192389	0	0	0	0	0.004194457	0.016890408	0	0	0	0.001721854	0	0.005840255	0	0.001538767	0	0.001025686	0	0	0	0	0.029753771	0
5aa486478fef7f34635703518bf58629	0.001590084	0	0	0.00080795	0	0.120111199	0.004788419	0.095543991	0.001757205	0.000249921	0	0	0	0	0.000345437	0.000705614	0.004337324	0	0	0.000499423	0	0.000977302	0.00146253	0	0.000960892	0.000783758	0	0	0.001059883	0	0.001522199	0	0.004682021	0	0	0.000755758	0	0.010433055	0.094703944	0	0.000684327	0.001236617	0	0.000646742	0	0	0.000654693	0	0.12286261	0.090865567	0.002496402	0	0.000665834
648827588a627adaead1340a9f67c60d	0	0	0	0	0.000321756	0	0	0	0	0	0.005993061	0	0	0.432102032	0.000345437	0	0.00168818	0	0	0	0.000182937	0	0	0	0.001032959	0	0	0.000298717	0	0	0.000389006	0.000513132	0.00376554	0	0.000228914	0	0	0.000351909	0	0	0	0.000948638	0	0	0	0	0	0	0.003065907	0	0.000455226	0.00105711	0
4dc82b943762af2fd037dd1fddd1b0a9	0	0	0	0.063282702	0	0	0.00857461	0	0.001255146	0.000199937	0	0.001028857	0.000880475	0.000194045	0	0.00037356	0.009843389	0.000559701	0	0	0.085797261	0.014219746	0.000833086	0	0	0.010487423	0	0	0.121908673	0.007508407	0.000287526	0	5.98E-05	0	0.00167283	0.111304249	0	0.003415583	0.000969086	0.000314558	0.017108168	0	0.004375556	0	0.001166485	0	0	0.00075912	0	0	0	0.070697435	0.005604106
13de5205be630d90c8a895bfddc5efb0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356339522	0	0	0	0.000404285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
