,Classifier_Name,Optimitied_Param,Model_Path
0,LogisticRegression,"OrderedDict([('C', 100.0), ('class_weight', None), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'lbfgs')])",5FV/2_5FV/1/0/LogisticRegression.pkl
1,LogisticRegression,"OrderedDict([('C', 10.0), ('class_weight', None), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'lbfgs')])",5FV/2_5FV/1/1/LogisticRegression.pkl
2,LogisticRegression,"OrderedDict([('C', 100.0), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",5FV/2_5FV/1/2/LogisticRegression.pkl
3,LogisticRegression,"OrderedDict([('C', 100.0), ('class_weight', 'balanced'), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'lbfgs')])",5FV/2_5FV/1/3/LogisticRegression.pkl
4,LogisticRegression,"OrderedDict([('C', 100.0), ('class_weight', None), ('max_iter', 100), ('penalty', 'l1'), ('solver', 'liblinear')])",5FV/2_5FV/1/4/LogisticRegression.pkl
