,Classifier_Name,Optimitied_Param,Model_Path
0,LogisticRegression,"OrderedDict([('C', 0.971077447688333), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/0/0/LogisticRegression.pkl
1,LogisticRegression,"OrderedDict([('C', 1.0), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/0/1/LogisticRegression.pkl
2,LogisticRegression,"OrderedDict([('C', 0.8717292655981523), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/0/2/LogisticRegression.pkl
3,LogisticRegression,"OrderedDict([('C', 0.9824715594442431), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/0/3/LogisticRegression.pkl
4,LogisticRegression,"OrderedDict([('C', 0.1), ('class_weight', 'balanced'), ('max_iter', 1000), ('penalty', 'l2'), ('solver', 'lbfgs')])",new_LR/0/4/LogisticRegression.pkl
