,accuracy,precision,f1_score,mmc,rocAUC,specificity,sensitivity,pro_cutoff,prAUC
0,0.6944444444444444,0.639047619047619,0.67,0.4980768653103514,0.6599999999999999,0.6266666666666667,0.8333333333333333,"[0.7850886155956356, 0.11312605206370692, 0.7062367058598344, 0.11670197182742198, 0.5672309289379499]",0.5091269841269841
1,0.725,0.6647619047619048,0.7111111111111111,0.5535903210370102,0.6677777777777777,0.6533333333333333,0.8666666666666666,"[0.27146342641507265, 0.30894829200591045, 0.5836427566477131, 0.7330639754642893, 0.7885937396911997]",0.6010119047619047
2,0.6972222222222222,0.639047619047619,0.6776190476190476,0.49946695610889547,0.678888888888889,0.6266666666666667,0.8333333333333333,"[0.7672243502919381, 0.7046611179082855, 0.12919425572045806, 0.6196157974872447, 0.18311771573405564]",0.5811111111111111
3,0.7694444444444445,0.7233333333333334,0.6847619047619047,0.5804673817592414,0.718888888888889,0.78,0.7833333333333333,"[0.9814937528970509, 0.5082459061940561, 0.643054526078219, 0.6248444638306585, 0.16764347011509104]",0.6433531746031745
4,0.7027777777777777,0.62,0.6897402597402598,0.5035279350519505,0.6566666666666666,0.6,0.8666666666666666,"[0.09260933891016564, 0.4779218961347587, 0.2301298442993445, 0.10648799142746479, 0.9753729120342943]",0.5103174603174603
